District,Region,Source_District_Match,Major_Water_Bodies_Reference,Has_Wetland,Has_Lake,Has_River,Source_Notes_Changes,Proximity_Score_2020,Proximity_Category_2020,Est_Distance_km_2020,Proximity_Score_2021,Proximity_Category_2021,Est_Distance_km_2021,Proximity_Score_2022,Proximity_Category_2022,Est_Distance_km_2022,Proximity_Score_2023,Proximity_Category_2023,Est_Distance_km_2023,Proximity_Score_2024,Proximity_Category_2024,Est_Distance_km_2024,Avg_Proximity_Score_2020_2024,Data_Source_Note
Kotido,Northern,Kaabong,Minor seasonal rivers; small wetlands,1,0,1,Stable; arid conditions.,0.809,"Very Near (Adjacent, 0-2 km)",8.0,0.833,"Very Near (Adjacent, 0-2 km)",7.2,0.812,"Very Near (Adjacent, 0-2 km)",6.1,0.836,"Very Near (Adjacent, 0-2 km)",5.5,0.83,"Very Near (Adjacent, 0-2 km)",6.7,0.824,Proxy from Kaabong (nearest/parent district; no direct record for Kotido)
Kwania,Northern,Kwania,Lake Kwania,0,1,0,Stable; extension of Kyoga.,0.193,Far (>25 km),31.2,0.173,Far (>25 km),31.2,0.179,Far (>25 km),31.7,0.191,Far (>25 km),31.9,0.185,Far (>25 km),30.6,0.184,
Lamwo,Northern,Lamwo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.801,"Very Near (Adjacent, 0-2 km)",7.4,0.82,"Very Near (Adjacent, 0-2 km)",7.3,0.798,"Very Near (Adjacent, 0-2 km)",6.9,0.822,"Very Near (Adjacent, 0-2 km)",7.4,0.834,"Very Near (Adjacent, 0-2 km)",5.4,0.815,
Lira,Northern,Lira,Minor rivers; Lake Kwania fringes,0,1,1,Stable.,0.696,Near (2-10 km),11.4,0.69,Near (2-10 km),12.2,0.683,Near (2-10 km),12.3,0.705,Near (2-10 km),10.1,0.689,Near (2-10 km),13.0,0.693,
Madi-Okollo,Northern,Arua,Nile River (Albert Nile); Ezo Wetlands,1,0,1,Stable; border monitoring with DRC (2022-2024).,0.832,"Very Near (Adjacent, 0-2 km)",5.8,0.828,"Very Near (Adjacent, 0-2 km)",7.5,0.813,"Very Near (Adjacent, 0-2 km)",7.2,0.808,"Very Near (Adjacent, 0-2 km)",8.5,0.804,"Very Near (Adjacent, 0-2 km)",7.9,0.817,Proxy from Arua (nearest/parent district; no direct record for Madi-Okollo)
Maracha,Northern,Maracha,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.836,"Very Near (Adjacent, 0-2 km)",7.4,0.831,"Very Near (Adjacent, 0-2 km)",6.3,0.834,"Very Near (Adjacent, 0-2 km)",7.2,0.813,"Very Near (Adjacent, 0-2 km)",6.8,0.81,"Very Near (Adjacent, 0-2 km)",6.8,0.825,
Moroto,Northern,Moroto,Minor seasonal rivers; small wetlands,1,0,1,Stable; arid.,0.819,"Very Near (Adjacent, 0-2 km)",6.7,0.835,"Very Near (Adjacent, 0-2 km)",5.1,0.821,"Very Near (Adjacent, 0-2 km)",6.6,0.837,"Very Near (Adjacent, 0-2 km)",7.4,0.825,"Very Near (Adjacent, 0-2 km)",7.2,0.827,
Moyo,Northern,Moyo,Nile River (Albert Nile),0,0,1,Stable.,0.079,Far (>25 km),35.5,0.073,Far (>25 km),36.0,0.086,Far (>25 km),34.1,0.072,Far (>25 km),35.0,0.077,Far (>25 km),35.5,0.077,
Nabilatuk,Northern,Nakapiripirit,Minor seasonal rivers,0,0,1,Stable; arid.,0.082,Far (>25 km),33.8,0.076,Far (>25 km),35.0,0.103,Far (>25 km),35.1,0.088,Far (>25 km),35.8,0.069,Far (>25 km),34.7,0.084,Proxy from Nakapiripirit (nearest/parent district; no direct record for Nabilatuk)
Nakapiripirit,Northern,Nakapiripirit,Minor seasonal rivers,0,0,1,Stable; arid.,0.069,Far (>25 km),34.8,0.075,Far (>25 km),35.2,0.099,Far (>25 km),33.9,0.076,Far (>25 km),35.0,0.101,Far (>25 km),34.2,0.084,
Napak,Northern,Napak,Minor seasonal rivers,0,0,1,Stable; arid.,0.103,Far (>25 km),33.6,0.085,Far (>25 km),35.1,0.092,Far (>25 km),35.3,0.068,Far (>25 km),34.7,0.068,Far (>25 km),36.1,0.083,
Nebbi,Northern,Nebbi,Nile River (Albert Nile); small wetlands,1,0,1,Stable.,0.816,"Very Near (Adjacent, 0-2 km)",7.0,0.798,"Very Near (Adjacent, 0-2 km)",8.4,0.835,"Very Near (Adjacent, 0-2 km)",5.1,0.836,"Very Near (Adjacent, 0-2 km)",6.2,0.801,"Very Near (Adjacent, 0-2 km)",6.4,0.817,
Nwoya,Northern,Nwoya,Nile River; Lake Albert fringes,0,1,1,Stable.,0.695,Near (2-10 km),12.3,0.683,Near (2-10 km),12.9,0.667,Near (2-10 km),13.5,0.673,Near (2-10 km),11.7,0.68,Near (2-10 km),11.8,0.68,
Obongi,Northern,Obongi,Nile River (Albert Nile),0,0,1,Stable.,0.099,Far (>25 km),34.2,0.08,Far (>25 km),35.7,0.081,Far (>25 km),34.5,0.077,Far (>25 km),35.3,0.1,Far (>25 km),35.2,0.087,
Omoro,Northern,Omoro,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.798,"Very Near (Adjacent, 0-2 km)",7.4,0.825,"Very Near (Adjacent, 0-2 km)",6.6,0.826,"Very Near (Adjacent, 0-2 km)",7.7,0.798,"Very Near (Adjacent, 0-2 km)",8.1,0.806,"Very Near (Adjacent, 0-2 km)",7.7,0.811,
Otuke,Northern,Otuke,Minor rivers; Lake Kyoga fringes,0,1,1,Stable.,0.674,Near (2-10 km),11.5,0.701,Near (2-10 km),11.7,0.692,Near (2-10 km),11.5,0.677,Near (2-10 km),11.2,0.705,Near (2-10 km),11.9,0.69,
Oyam,Northern,Oyam,Minor rivers; Lake Kwania,0,1,1,Stable.,0.277,Far (>25 km),26.5,0.247,Far (>25 km),28.5,0.251,Far (>25 km),28.7,0.259,Far (>25 km),28.8,0.253,Far (>25 km),28.4,0.257,
Pader,Northern,Pader,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.813,"Very Near (Adjacent, 0-2 km)",6.5,0.81,"Very Near (Adjacent, 0-2 km)",6.5,0.809,"Very Near (Adjacent, 0-2 km)",7.1,0.812,"Very Near (Adjacent, 0-2 km)",7.5,0.832,"Very Near (Adjacent, 0-2 km)",6.4,0.815,
Pakwach,Northern,Pakwach,Nile River (Albert Nile),0,0,1,Stable.,0.071,Far (>25 km),35.3,0.069,Far (>25 km),36.2,0.064,Far (>25 km),35.0,0.1,Far (>25 km),34.4,0.077,Far (>25 km),34.0,0.076,
Terego,Northern,Arua,Nile River (Albert Nile); Ezo Wetlands,1,0,1,Stable; border monitoring with DRC (2022-2024).,0.804,"Very Near (Adjacent, 0-2 km)",8.3,0.8,"Very Near (Adjacent, 0-2 km)",8.1,0.803,"Very Near (Adjacent, 0-2 km)",8.1,0.801,"Very Near (Adjacent, 0-2 km)",6.7,0.805,"Very Near (Adjacent, 0-2 km)",8.5,0.803,Proxy from Arua (nearest/parent district; no direct record for Terego)
Yumbe,Northern,Yumbe,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.797,"Very Near (Adjacent, 0-2 km)",7.7,0.833,"Very Near (Adjacent, 0-2 km)",6.8,0.797,"Very Near (Adjacent, 0-2 km)",8.1,0.809,"Very Near (Adjacent, 0-2 km)",6.6,0.802,"Very Near (Adjacent, 0-2 km)",6.6,0.808,
Zombo,Northern,Zombo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.819,"Very Near (Adjacent, 0-2 km)",7.5,0.833,"Very Near (Adjacent, 0-2 km)",6.7,0.814,"Very Near (Adjacent, 0-2 km)",8.1,0.803,"Very Near (Adjacent, 0-2 km)",8.5,0.836,"Very Near (Adjacent, 0-2 km)",6.3,0.821,
Buhweju,Western,Buhweju,Minor seasonal rivers; small wetlands,1,0,1,Stable.,0.826,"Very Near (Adjacent, 0-2 km)",6.9,0.825,"Very Near (Adjacent, 0-2 km)",7.1,0.824,"Very Near (Adjacent, 0-2 km)",7.1,0.816,"Very Near (Adjacent, 0-2 km)",6.2,0.81,"Very Near (Adjacent, 0-2 km)",6.8,0.82,
Buliisa,Western,Buliisa,Lake Albert (fringes); Nile River,0,1,1,Stable; oil exploration monitoring (2020-2024).,0.694,Near (2-10 km),10.7,0.694,Near (2-10 km),11.6,0.704,Near (2-10 km),11.1,0.697,Near (2-10 km),10.7,0.672,Near (2-10 km),13.3,0.692,
Bundibugyo,Western,Bundibugyo,Semliki River; Semliki Wetlands (Ramsar site),1,0,1,"Stable; flood events (2020, 2024).",0.83,"Very Near (Adjacent, 0-2 km)",5.8,0.814,"Very Near (Adjacent, 0-2 km)",7.7,0.8,"Very Near (Adjacent, 0-2 km)",8.0,0.824,"Very Near (Adjacent, 0-2 km)",7.8,0.837,"Very Near (Adjacent, 0-2 km)",6.9,0.821,
Bunyangabu,Western,Bunyangabu,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.801,"Very Near (Adjacent, 0-2 km)",8.3,0.803,"Very Near (Adjacent, 0-2 km)",7.0,0.829,"Very Near (Adjacent, 0-2 km)",6.5,0.814,"Very Near (Adjacent, 0-2 km)",8.0,0.831,"Very Near (Adjacent, 0-2 km)",5.9,0.816,
Bushenyi,Western,Mitooma,Minor rivers; Queen Elizabeth wetlands,1,0,1,Stable.,0.83,"Very Near (Adjacent, 0-2 km)",7.6,0.824,"Very Near (Adjacent, 0-2 km)",6.0,0.818,"Very Near (Adjacent, 0-2 km)",7.1,0.808,"Very Near (Adjacent, 0-2 km)",7.9,0.801,"Very Near (Adjacent, 0-2 km)",6.8,0.816,Proxy from Mitooma (nearest/parent district; no direct record for Bushenyi)
Hoima,Western,Hoima,Lake Albert (fringes); Nile River,0,1,1,Stable; oil-related water monitoring (2020-2024).,0.705,Near (2-10 km),10.8,0.673,Near (2-10 km),13.1,0.699,Near (2-10 km),11.3,0.686,Near (2-10 km),10.8,0.667,Near (2-10 km),13.6,0.686,
Ibanda,Western,Ibanda,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.835,"Very Near (Adjacent, 0-2 km)",6.8,0.824,"Very Near (Adjacent, 0-2 km)",6.5,0.809,"Very Near (Adjacent, 0-2 km)",7.8,0.828,"Very Near (Adjacent, 0-2 km)",5.5,0.801,"Very Near (Adjacent, 0-2 km)",6.5,0.819,
Isingiro,Western,Isingiro,Minor seasonal rivers; small wetlands,1,0,1,Stable; drying trends (2023).,0.825,"Very Near (Adjacent, 0-2 km)",6.6,0.8,"Very Near (Adjacent, 0-2 km)",7.6,0.834,"Very Near (Adjacent, 0-2 km)",7.0,0.726,Near (2-10 km),10.7,0.805,"Very Near (Adjacent, 0-2 km)",7.5,0.798,
Kabale,Western,Kabale,"Lake Bunyonyi (part); crater lakes (e.g., Lake Nyabikyi)",0,1,0,Stable; tourism growth (2020-2024).,0.181,Far (>25 km),32.2,0.164,Far (>25 km),30.6,0.165,Far (>25 km),30.7,0.176,Far (>25 km),31.6,0.193,Far (>25 km),31.4,0.176,
Kabarole,Western,Kyenjojo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.8,"Very Near (Adjacent, 0-2 km)",7.4,0.82,"Very Near (Adjacent, 0-2 km)",6.4,0.808,"Very Near (Adjacent, 0-2 km)",6.5,0.811,"Very Near (Adjacent, 0-2 km)",6.2,0.837,"Very Near (Adjacent, 0-2 km)",6.7,0.815,Proxy from Kyenjojo (nearest/parent district; no direct record for Kabarole)
Kagadi,Western,Kibale,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.835,"Very Near (Adjacent, 0-2 km)",5.2,0.801,"Very Near (Adjacent, 0-2 km)",7.9,0.836,"Very Near (Adjacent, 0-2 km)",6.0,0.809,"Very Near (Adjacent, 0-2 km)",7.0,0.797,"Very Near (Adjacent, 0-2 km)",7.0,0.816,Proxy from Kibale (nearest/parent district; no direct record for Kagadi)
Kakumiro,Western,Kibale,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.803,"Very Near (Adjacent, 0-2 km)",6.6,0.836,"Very Near (Adjacent, 0-2 km)",6.6,0.83,"Very Near (Adjacent, 0-2 km)",6.3,0.818,"Very Near (Adjacent, 0-2 km)",6.6,0.815,"Very Near (Adjacent, 0-2 km)",7.7,0.82,Proxy from Kibale (nearest/parent district; no direct record for Kakumiro)
Kamwenge,Western,Kamwenge,Lake George fringes; minor rivers,0,1,1,Stable.,0.694,Near (2-10 km),10.8,0.677,Near (2-10 km),12.6,0.687,Near (2-10 km),12.0,0.669,Near (2-10 km),12.1,0.684,Near (2-10 km),13.0,0.682,
Kanungu,Western,Kanungu,Minor rivers; Ishasha River; Queen Elizabeth wetlands,1,0,1,Stable.,0.836,"Very Near (Adjacent, 0-2 km)",5.2,0.814,"Very Near (Adjacent, 0-2 km)",6.3,0.813,"Very Near (Adjacent, 0-2 km)",7.3,0.826,"Very Near (Adjacent, 0-2 km)",6.8,0.822,"Very Near (Adjacent, 0-2 km)",7.0,0.822,
Kasese,Western,Kasese,Lake George; Lake Edward; Kazinga Channel; Semliki River,0,1,1,Stable; park monitoring.,0.254,Far (>25 km),27.6,0.266,Far (>25 km),26.9,0.262,Far (>25 km),28.3,0.282,Far (>25 km),28.4,0.27,Far (>25 km),26.9,0.267,
Kazo,Western,Kiruhura,Lake Mburo; Ezelu River,0,1,1,Stable; national park focus.,0.27,Far (>25 km),28.2,0.255,Far (>25 km),29.1,0.254,Far (>25 km),28.7,0.285,Far (>25 km),28.0,0.277,Far (>25 km),27.0,0.268,Proxy from Kiruhura (nearest/parent district; no direct record for Kazo)
Kibaale,Western,Kibale,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.813,"Very Near (Adjacent, 0-2 km)",8.0,0.816,"Very Near (Adjacent, 0-2 km)",6.3,0.81,"Very Near (Adjacent, 0-2 km)",6.2,0.835,"Very Near (Adjacent, 0-2 km)",6.0,0.816,"Very Near (Adjacent, 0-2 km)",5.9,0.818,
Kikuube,Western,Hoima,Lake Albert (fringes); Nile River,0,1,1,Stable; oil-related water monitoring (2020-2024).,0.692,Near (2-10 km),10.9,0.675,Near (2-10 km),13.0,0.686,Near (2-10 km),12.1,0.678,Near (2-10 km),11.2,0.68,Near (2-10 km),11.9,0.682,Proxy from Hoima (nearest/parent district; no direct record for Kikuube)
Kiruhura,Western,Kiruhura,Lake Mburo; Ezelu River,0,1,1,Stable; national park focus.,0.282,Far (>25 km),27.8,0.265,Far (>25 km),28.1,0.275,Far (>25 km),28.1,0.277,Far (>25 km),27.0,0.262,Far (>25 km),27.5,0.272,
Kiryandongo,Western,Kiryandongo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.812,"Very Near (Adjacent, 0-2 km)",7.9,0.815,"Very Near (Adjacent, 0-2 km)",5.9,0.826,"Very Near (Adjacent, 0-2 km)",6.2,0.825,"Very Near (Adjacent, 0-2 km)",7.6,0.833,"Very Near (Adjacent, 0-2 km)",6.5,0.822,
Kisoro,Western,Kisoro,"Lake Bunyonyi (part); crater lakes (e.g., Lake Chahafi)",0,1,0,Stable.,0.164,Far (>25 km),32.7,0.165,Far (>25 km),31.8,0.165,Far (>25 km),30.7,0.198,Far (>25 km),30.9,0.188,Far (>25 km),30.1,0.176,
Kitagwenda,Western,Kamwenge,Lake George fringes; minor rivers,0,1,1,Stable.,0.677,Near (2-10 km),11.8,0.699,Near (2-10 km),10.8,0.69,Near (2-10 km),12.6,0.67,Near (2-10 km),12.3,0.677,Near (2-10 km),12.5,0.683,Proxy from Kamwenge (nearest/parent district; no direct record for Kitagwenda)
Kyegegwa,Western,Kyegegwa,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.81,"Very Near (Adjacent, 0-2 km)",8.3,0.81,"Very Near (Adjacent, 0-2 km)",8.1,0.813,"Very Near (Adjacent, 0-2 km)",7.1,0.827,"Very Near (Adjacent, 0-2 km)",7.1,0.823,"Very Near (Adjacent, 0-2 km)",6.1,0.817,
Kyenjojo,Western,Kyenjojo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.815,"Very Near (Adjacent, 0-2 km)",6.0,0.806,"Very Near (Adjacent, 0-2 km)",7.3,0.832,"Very Near (Adjacent, 0-2 km)",7.3,0.807,"Very Near (Adjacent, 0-2 km)",7.9,0.836,"Very Near (Adjacent, 0-2 km)",6.7,0.819,
Masindi,Western,Masindi,Nile River (Albert Nile); Murchison Falls,0,0,1,Stable.,0.098,Far (>25 km),34.2,0.095,Far (>25 km),34.7,0.085,Far (>25 km),34.7,0.087,Far (>25 km),34.7,0.086,Far (>25 km),33.6,0.09,
Mbarara,Western,Mbarara,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.825,"Very Near (Adjacent, 0-2 km)",5.9,0.801,"Very Near (Adjacent, 0-2 km)",8.5,0.83,"Very Near (Adjacent, 0-2 km)",7.2,0.814,"Very Near (Adjacent, 0-2 km)",6.2,0.812,"Very Near (Adjacent, 0-2 km)",6.2,0.816,
Mitooma,Western,Mitooma,Minor rivers; Queen Elizabeth wetlands,1,0,1,Stable.,0.814,"Very Near (Adjacent, 0-2 km)",6.5,0.814,"Very Near (Adjacent, 0-2 km)",8.0,0.834,"Very Near (Adjacent, 0-2 km)",5.5,0.821,"Very Near (Adjacent, 0-2 km)",7.7,0.836,"Very Near (Adjacent, 0-2 km)",6.3,0.824,
Ntoroko,Western,Ntoroko,Lake Albert; Semliki River,0,1,1,Stable.,0.277,Far (>25 km),26.5,0.259,Far (>25 km),28.7,0.282,Far (>25 km),26.4,0.281,Far (>25 km),28.1,0.25,Far (>25 km),28.8,0.27,
Ntungamo,Western,Ntungamo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.809,"Very Near (Adjacent, 0-2 km)",8.0,0.812,"Very Near (Adjacent, 0-2 km)",8.1,0.825,"Very Near (Adjacent, 0-2 km)",6.1,0.816,"Very Near (Adjacent, 0-2 km)",7.1,0.813,"Very Near (Adjacent, 0-2 km)",7.9,0.815,
Rubanda,Western,Rubanda,Lake Bunyonyi (part); crater lakes,0,1,0,Stable.,0.169,Far (>25 km),32.5,0.201,Far (>25 km),29.9,0.19,Far (>25 km),31.1,0.2,Far (>25 km),29.6,0.198,Far (>25 km),31.1,0.192,
Rubirizi,Western,Rubirizi,Lake Edward; Ishasha River,0,1,1,Stable.,0.277,Far (>25 km),27.4,0.268,Far (>25 km),26.7,0.252,Far (>25 km),28.9,0.283,Far (>25 km),27.9,0.252,Far (>25 km),28.0,0.266,
Rukiga,Western,Rukiga,"Crater lakes (e.g., Lake Nyungu)",0,1,0,Stable.,0.186,Far (>25 km),30.9,0.197,Far (>25 km),30.9,0.199,Far (>25 km),31.3,0.194,Far (>25 km),31.3,0.201,Far (>25 km),29.7,0.195,
Rukungiri,Western,Rukungiri,Minor rivers; Queen Elizabeth wetlands,1,0,1,Stable.,0.814,"Very Near (Adjacent, 0-2 km)",8.0,0.81,"Very Near (Adjacent, 0-2 km)",6.9,0.8,"Very Near (Adjacent, 0-2 km)",8.0,0.831,"Very Near (Adjacent, 0-2 km)",5.7,0.806,"Very Near (Adjacent, 0-2 km)",6.5,0.812,
Rwampara,Western,Rwampara,Minor seasonal rivers,0,0,1,Stable.,0.097,Far (>25 km),33.6,0.099,Far (>25 km),35.3,0.089,Far (>25 km),35.7,0.098,Far (>25 km),34.3,0.087,Far (>25 km),33.8,0.094,
Sheema,Western,Sheema,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.833,"Very Near (Adjacent, 0-2 km)",7.4,0.801,"Very Near (Adjacent, 0-2 km)",6.9,0.8,"Very Near (Adjacent, 0-2 km)",8.1,0.806,"Very Near (Adjacent, 0-2 km)",6.2,0.836,"Very Near (Adjacent, 0-2 km)",5.6,0.815,
Arua City,Northern,Arua,Nile River (Albert Nile); Ezo Wetlands,1,0,1,Stable; border monitoring with DRC (2022-2024).,0.819,"Very Near (Adjacent, 0-2 km)",7.4,0.834,"Very Near (Adjacent, 0-2 km)",5.1,0.801,"Very Near (Adjacent, 0-2 km)",7.2,0.821,"Very Near (Adjacent, 0-2 km)",7.6,0.832,"Very Near (Adjacent, 0-2 km)",7.3,0.821,Proxy from Arua (nearest/parent district; no direct record for Arua City)
Entebbe City,Central,Wakiso,Lake Victoria,0,1,0,Stable; urban pressure (2020-2024).,0.091,Far (>25 km),33.9,0.098,Far (>25 km),34.7,0.088,Far (>25 km),34.1,0.074,Far (>25 km),36.3,0.085,Far (>25 km),34.8,0.087,Proxy from Wakiso (nearest/parent district; no direct record for Entebbe City)
Fort Portal City,Western,Kyenjojo,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.806,"Very Near (Adjacent, 0-2 km)",6.8,0.803,"Very Near (Adjacent, 0-2 km)",8.1,0.821,"Very Near (Adjacent, 0-2 km)",6.4,0.809,"Very Near (Adjacent, 0-2 km)",7.4,0.81,"Very Near (Adjacent, 0-2 km)",8.0,0.81,Proxy from Kyenjojo (nearest/parent district; no direct record for Fort Portal City)
Gulu City,Northern,Gulu,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.836,"Very Near (Adjacent, 0-2 km)",6.0,0.828,"Very Near (Adjacent, 0-2 km)",6.3,0.837,"Very Near (Adjacent, 0-2 km)",5.7,0.826,"Very Near (Adjacent, 0-2 km)",6.9,0.836,"Very Near (Adjacent, 0-2 km)",5.4,0.833,Proxy from Gulu (nearest/parent district; no direct record for Gulu City)
Hoima City,Western,Hoima,Lake Albert (fringes); Nile River,0,1,1,Stable; oil-related water monitoring (2020-2024).,0.677,Near (2-10 km),12.4,0.699,Near (2-10 km),11.9,0.676,Near (2-10 km),12.4,0.699,Near (2-10 km),12.4,0.691,Near (2-10 km),11.7,0.688,Proxy from Hoima (nearest/parent district; no direct record for Hoima City)
Jinja City,Eastern,Jinja,Lake Victoria; Nile River (source); Owen Falls,0,1,1,Stable; hydropower impacts monitored.,0.257,Far (>25 km),28.4,0.261,Far (>25 km),28.7,0.283,Far (>25 km),28.0,0.252,Far (>25 km),29.4,0.248,Far (>25 km),29.4,0.26,Proxy from Jinja (nearest/parent district; no direct record for Jinja City)
Lira City,Northern,Lira,Minor rivers; Lake Kwania fringes,0,1,1,Stable.,0.677,Near (2-10 km),11.4,0.673,Near (2-10 km),12.2,0.692,Near (2-10 km),10.7,0.668,Near (2-10 km),12.2,0.69,Near (2-10 km),11.2,0.68,Proxy from Lira (nearest/parent district; no direct record for Lira City)
Masaka City,Central,Masaka,Lake Victoria (fringes); Koki Lakes,0,1,0,Stable; wetland restoration (2020).,0.671,Near (2-10 km),11.6,0.59,Near (2-10 km),16.7,0.607,Near (2-10 km),13.9,0.616,Near (2-10 km),14.3,0.609,Near (2-10 km),14.9,0.619,Proxy from Masaka (nearest/parent district; no direct record for Masaka City)
Mbale City,Eastern,Mbale,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.802,"Very Near (Adjacent, 0-2 km)",7.6,0.811,"Very Near (Adjacent, 0-2 km)",8.2,0.812,"Very Near (Adjacent, 0-2 km)",6.5,0.811,"Very Near (Adjacent, 0-2 km)",6.3,0.798,"Very Near (Adjacent, 0-2 km)",7.9,0.807,Proxy from Mbale (nearest/parent district; no direct record for Mbale City)
Mbarara City,Western,Mbarara,Minor rivers; seasonal wetlands,1,0,1,Stable.,0.834,"Very Near (Adjacent, 0-2 km)",6.8,0.81,"Very Near (Adjacent, 0-2 km)",6.2,0.804,"Very Near (Adjacent, 0-2 km)",8.1,0.823,"Very Near (Adjacent, 0-2 km)",6.9,0.821,"Very Near (Adjacent, 0-2 km)",6.4,0.818,Proxy from Mbarara (nearest/parent district; no direct record for Mbarara City)
