District,Region,UDHS_Subregion,Year,ITN_Net_Usage_pct,Poor_Housing_pct,Lack_Maternal_Education_pct
Omoro,Northern,Acholi,2023,72.9,61.9,30.4
Omoro,Northern,Acholi,2024,63.5,61.4,28.6
Otuke,Northern,Lango,2020,73.1,51.0,23.0
Otuke,Northern,Lango,2021,77.2,49.0,23.4
Otuke,Northern,Lango,2022,76.2,50.7,22.2
Otuke,Northern,Lango,2023,69.9,47.4,23.2
Otuke,Northern,Lango,2024,66.3,47.7,22.1
Oyam,Northern,Lango,2020,71.8,48.6,22.6
Oyam,Northern,Lango,2021,78.0,48.5,22.1
Oyam,Northern,Lango,2022,76.2,47.3,20.3
Oyam,Northern,Lango,2023,68.0,47.2,20.2
Oyam,Northern,Lango,2024,62.6,43.9,21.2
Pader,Northern,Acholi,2020,73.0,62.0,32.3
Pader,Northern,Acholi,2021,80.2,60.4,30.1
Pader,Northern,Acholi,2022,77.1,58.1,32.0
Pader,Northern,Acholi,2023,68.6,57.4,29.8
Pader,Northern,Acholi,2024,66.0,57.0,30.1
Pakwach,Northern,West Nile,2020,68.4,55.6,24.9
Pakwach,Northern,West Nile,2021,76.3,55.7,24.3
Pakwach,Northern,West Nile,2022,72.5,54.4,25.9
Pakwach,Northern,West Nile,2023,64.1,54.3,24.7
Pakwach,Northern,West Nile,2024,60.5,52.2,24.4
Terego,Northern,West Nile,2020,71.2,54.5,29.1
Terego,Northern,West Nile,2021,80.0,51.2,28.7
Terego,Northern,West Nile,2022,71.5,50.4,29.9
Terego,Northern,West Nile,2023,66.2,49.0,26.7
Terego,Northern,West Nile,2024,63.6,49.7,26.3
Yumbe,Northern,West Nile,2020,70.2,53.3,26.3
Yumbe,Northern,West Nile,2021,75.8,53.8,26.3
Yumbe,Northern,West Nile,2022,74.8,53.0,25.8
Yumbe,Northern,West Nile,2023,67.6,52.5,26.2
Yumbe,Northern,West Nile,2024,63.1,51.2,26.7
Zombo,Northern,West Nile,2020,69.2,53.2,28.2
Zombo,Northern,West Nile,2021,80.3,51.6,26.7
Zombo,Northern,West Nile,2022,72.7,52.5,26.7
Zombo,Northern,West Nile,2023,68.3,51.5,26.8
Zombo,Northern,West Nile,2024,60.1,49.2,26.3
Buhweju,Western,Ankole,2020,47.6,25.3,10.2
Buhweju,Western,Ankole,2021,56.7,24.6,10.0
Buhweju,Western,Ankole,2022,53.4,25.4,10.1
Buhweju,Western,Ankole,2023,46.9,24.0,9.1
Buhweju,Western,Ankole,2024,44.8,21.0,7.9
Buliisa,Western,Bunyoro,2020,53.8,36.4,8.5
Buliisa,Western,Bunyoro,2021,62.6,36.2,7.9
Buliisa,Western,Bunyoro,2022,59.4,33.9,7.0
Buliisa,Western,Bunyoro,2023,50.4,35.2,7.4
Buliisa,Western,Bunyoro,2024,48.7,33.4,6.0
Bundibugyo,Western,Tooro,2020,51.5,29.8,9.7
Bundibugyo,Western,Tooro,2021,59.2,30.7,7.1
Bundibugyo,Western,Tooro,2022,55.7,29.5,8.0
Bundibugyo,Western,Tooro,2023,51.5,28.7,6.7
Bundibugyo,Western,Tooro,2024,47.2,27.8,7.9
Bunyangabu,Western,Tooro,2020,51.6,31.8,13.4
Bunyangabu,Western,Tooro,2021,55.8,30.7,12.8
Bunyangabu,Western,Tooro,2022,54.8,30.1,13.7
Bunyangabu,Western,Tooro,2023,52.6,28.3,12.3
Bunyangabu,Western,Tooro,2024,46.7,28.0,13.6
Bushenyi,Western,Ankole,2020,48.4,23.1,11.1
Bushenyi,Western,Ankole,2021,53.6,21.9,10.5
Bushenyi,Western,Ankole,2022,50.3,21.2,7.9
Bushenyi,Western,Ankole,2023,50.2,21.8,9.2
Bushenyi,Western,Ankole,2024,41.3,18.5,8.4
Hoima,Western,Bunyoro,2020,58.3,37.3,8.7
Hoima,Western,Bunyoro,2021,63.7,37.1,6.1
Hoima,Western,Bunyoro,2022,54.7,35.5,8.4
Hoima,Western,Bunyoro,2023,50.5,34.2,5.5
Hoima,Western,Bunyoro,2024,50.7,31.9,6.8
Ibanda,Western,Ankole,2020,47.7,25.6,10.0
Ibanda,Western,Ankole,2021,55.4,24.9,10.1
Ibanda,Western,Ankole,2022,51.9,25.0,10.0
Ibanda,Western,Ankole,2023,48.6,22.8,8.7
Ibanda,Western,Ankole,2024,46.8,22.7,7.4
Isingiro,Western,Ankole,2020,48.7,24.7,8.6
Isingiro,Western,Ankole,2021,53.9,23.4,8.1
Isingiro,Western,Ankole,2022,51.0,22.3,6.1
Isingiro,Western,Ankole,2023,49.5,20.3,4.6
Isingiro,Western,Ankole,2024,45.6,21.7,4.1
Kabale,Western,Kigezi,2020,49.5,27.0,6.2
Kabale,Western,Kigezi,2021,50.0,26.1,6.1
Kabale,Western,Kigezi,2022,48.8,25.0,3.8
Kabale,Western,Kigezi,2023,44.0,26.1,4.1
Kabale,Western,Kigezi,2024,41.1,23.9,4.9
Kabarole,Western,Tooro,2020,54.0,30.6,14.9
Kabarole,Western,Tooro,2021,56.5,28.7,13.8
Kabarole,Western,Tooro,2022,56.4,27.1,13.0
Kabarole,Western,Tooro,2023,48.7,26.0,11.4
Kabarole,Western,Tooro,2024,48.8,26.9,11.2
Kagadi,Western,Bunyoro,2020,56.0,32.0,9.1
Kagadi,Western,Bunyoro,2021,63.5,32.2,6.9
Kagadi,Western,Bunyoro,2022,56.7,31.2,6.5
Kagadi,Western,Bunyoro,2023,54.8,29.1,6.0
Kagadi,Western,Bunyoro,2024,50.8,28.5,5.4
Kakumiro,Western,Bunyoro,2020,54.4,34.1,11.1
Kakumiro,Western,Bunyoro,2021,63.3,33.4,10.2
Kakumiro,Western,Bunyoro,2022,59.9,33.4,9.3
Kakumiro,Western,Bunyoro,2023,52.5,31.3,10.1
Kakumiro,Western,Bunyoro,2024,51.8,31.3,9.0
Kamwenge,Western,Tooro,2020,52.7,32.5,9.1
Kamwenge,Western,Tooro,2021,58.2,32.1,9.5
Kamwenge,Western,Tooro,2022,54.8,29.4,9.6
Kamwenge,Western,Tooro,2023,51.6,28.1,6.8
Kamwenge,Western,Tooro,2024,47.6,27.3,6.2
Kanungu,Western,Kigezi,2020,45.8,28.0,10.0
Kanungu,Western,Kigezi,2021,54.5,26.2,8.2
Kanungu,Western,Kigezi,2022,50.7,24.6,6.9
Kanungu,Western,Kigezi,2023,45.6,23.9,8.1
Kanungu,Western,Kigezi,2024,39.3,22.6,6.8
Kasese,Western,Tooro,2020,49.8,28.1,10.3
Kasese,Western,Tooro,2021,57.3,28.0,11.4
Kasese,Western,Tooro,2022,54.8,26.1,9.6
Kasese,Western,Tooro,2023,51.7,23.7,9.1
Kasese,Western,Tooro,2024,44.0,24.0,7.8
Kazo,Western,Ankole,2020,51.6,25.1,4.8
Kazo,Western,Ankole,2021,57.8,23.0,6.8
Kazo,Western,Ankole,2022,53.2,20.4,4.7
Kazo,Western,Ankole,2023,47.2,20.1,4.3
Kazo,Western,Ankole,2024,42.3,19.7,4.3
Kibaale,Western,Bunyoro,2020,56.6,32.9,9.7
Kibaale,Western,Bunyoro,2021,64.0,34.0,9.3
Kibaale,Western,Bunyoro,2022,58.8,32.4,7.2
Kibaale,Western,Bunyoro,2023,53.1,31.4,8.1
Kibaale,Western,Bunyoro,2024,48.2,29.4,5.5
Kikuube,Western,Bunyoro,2020,56.6,33.8,9.5
Kikuube,Western,Bunyoro,2021,59.4,34.1,6.8
Kikuube,Western,Bunyoro,2022,55.4,33.5,8.2
Kikuube,Western,Bunyoro,2023,51.2,31.3,6.1
Kikuube,Western,Bunyoro,2024,52.5,30.3,6.2
Kiruhura,Western,Ankole,2020,51.6,22.9,4.8
Kiruhura,Western,Ankole,2021,55.7,23.3,6.3
Kiruhura,Western,Ankole,2022,50.1,22.3,6.0
Kiruhura,Western,Ankole,2023,48.7,20.2,5.1
Kiruhura,Western,Ankole,2024,42.9,20.6,3.0
Kiryandongo,Western,Bunyoro,2020,57.4,35.5,8.7
Kiryandongo,Western,Bunyoro,2021,61.4,35.5,9.1
Kiryandongo,Western,Bunyoro,2022,58.6,34.2,8.4
Kiryandongo,Western,Bunyoro,2023,56.2,35.0,7.2
Kiryandongo,Western,Bunyoro,2024,47.3,33.3,6.5
Kisoro,Western,Kigezi,2020,49.5,27.6,10.3
Kisoro,Western,Kigezi,2021,51.9,26.7,7.0
Kisoro,Western,Kigezi,2022,45.7,25.3,7.6
Kisoro,Western,Kigezi,2023,43.8,23.9,8.8
Kisoro,Western,Kigezi,2024,44.1,23.9,7.8
Kitagwenda,Western,Tooro,2020,51.0,34.3,9.7
Kitagwenda,Western,Tooro,2021,56.9,31.6,8.3
Kitagwenda,Western,Tooro,2022,55.3,31.6,7.9
Kitagwenda,Western,Tooro,2023,50.2,29.0,9.5
Kitagwenda,Western,Tooro,2024,45.4,27.4,6.4
Kyegegwa,Western,Tooro,2020,49.9,30.3,13.7
Kyegegwa,Western,Tooro,2021,55.7,28.1,13.4
Kyegegwa,Western,Tooro,2022,53.4,28.4,12.1
Kyegegwa,Western,Tooro,2023,51.5,25.0,13.8
Kyegegwa,Western,Tooro,2024,46.2,24.6,11.1
Kyenjojo,Western,Tooro,2020,52.0,32.0,10.8
Kyenjojo,Western,Tooro,2021,55.2,31.7,11.5
Kyenjojo,Western,Tooro,2022,56.4,29.6,12.7
Kyenjojo,Western,Tooro,2023,50.9,30.5,10.7
Kyenjojo,Western,Tooro,2024,46.4,28.8,9.5
Masindi,Western,Bunyoro,2020,57.6,35.1,12.0
Masindi,Western,Bunyoro,2021,63.5,36.2,11.0
Masindi,Western,Bunyoro,2022,58.8,33.6,9.5
Masindi,Western,Bunyoro,2023,55.0,33.4,9.3
Masindi,Western,Bunyoro,2024,46.7,32.3,8.5
Mbarara,Western,Ankole,2020,50.8,23.3,7.9
Mbarara,Western,Ankole,2021,55.4,21.4,8.0
Mbarara,Western,Ankole,2022,52.4,21.7,6.2
Mbarara,Western,Ankole,2023,49.3,21.7,5.2
Mbarara,Western,Ankole,2024,41.2,19.7,4.5
Mitooma,Western,Ankole,2020,48.5,27.7,5.0
Mitooma,Western,Ankole,2021,56.4,25.2,4.3
Mitooma,Western,Ankole,2022,48.3,26.0,6.5
Mitooma,Western,Ankole,2023,49.0,22.8,3.7
Mitooma,Western,Ankole,2024,43.2,23.7,4.6
Ntoroko,Western,Tooro,2020,51.3,31.7,10.0
Ntoroko,Western,Tooro,2021,60.4,32.1,8.3
Ntoroko,Western,Tooro,2022,51.9,28.5,7.8
Ntoroko,Western,Tooro,2023,51.4,27.6,7.9
Ntoroko,Western,Tooro,2024,44.8,28.3,8.1
Ntungamo,Western,Ankole,2020,47.1,26.0,10.8
Ntungamo,Western,Ankole,2021,52.8,27.4,9.3
Ntungamo,Western,Ankole,2022,52.3,24.2,8.0
Ntungamo,Western,Ankole,2023,48.6,24.1,7.3
Ntungamo,Western,Ankole,2024,42.0,22.9,7.8
Rubanda,Western,Kigezi,2020,48.6,27.4,7.9
Rubanda,Western,Kigezi,2021,53.6,28.4,8.4
Rubanda,Western,Kigezi,2022,46.9,26.5,8.8
Rubanda,Western,Kigezi,2023,45.0,25.9,7.2
Rubanda,Western,Kigezi,2024,44.1,24.9,5.6
Rubirizi,Western,Ankole,2020,50.7,22.8,8.6
Rubirizi,Western,Ankole,2021,57.3,22.8,7.3
Rubirizi,Western,Ankole,2022,49.7,20.5,7.5
Rubirizi,Western,Ankole,2023,45.3,20.2,5.7
Rubirizi,Western,Ankole,2024,43.6,19.3,6.4
Rukiga,Western,Kigezi,2020,48.3,27.6,8.6
Rukiga,Western,Kigezi,2021,50.6,24.5,7.6
Rukiga,Western,Kigezi,2022,45.9,25.0,7.5
Rukiga,Western,Kigezi,2023,46.8,22.1,6.9
Rukiga,Western,Kigezi,2024,40.4,22.4,6.7
Rukungiri,Western,Kigezi,2020,47.4,31.2,7.5
Rukungiri,Western,Kigezi,2021,50.6,31.1,6.5
Rukungiri,Western,Kigezi,2022,49.1,29.0,6.3
Rukungiri,Western,Kigezi,2023,43.3,29.4,5.9
Rukungiri,Western,Kigezi,2024,40.1,28.2,5.9
Rwampara,Western,Ankole,2020,47.3,26.4,8.3
Rwampara,Western,Ankole,2021,53.0,25.0,7.9
Rwampara,Western,Ankole,2022,51.2,25.1,7.5
Rwampara,Western,Ankole,2023,47.9,23.8,7.1
Rwampara,Western,Ankole,2024,44.9,20.7,5.0
Sheema,Western,Ankole,2020,47.0,24.1,6.7
Sheema,Western,Ankole,2021,52.5,22.3,5.9
Sheema,Western,Ankole,2022,50.2,21.2,5.7
Sheema,Western,Ankole,2023,46.9,22.9,5.8
Sheema,Western,Ankole,2024,43.7,20.3,5.4
Arua City,Northern,West Nile,2020,67.4,52.1,26.9
Arua City,Northern,West Nile,2021,80.1,52.4,25.3
Arua City,Northern,West Nile,2022,70.9,50.7,24.9
Arua City,Northern,West Nile,2023,66.6,48.0,24.0
Arua City,Northern,West Nile,2024,63.1,48.0,23.5
Entebbe City,Central,South Central,2020,53.4,16.7,3.4
Entebbe City,Central,South Central,2021,60.3,15.5,3.2
Entebbe City,Central,South Central,2022,52.5,13.7,2.5
Entebbe City,Central,South Central,2023,48.3,12.4,1.5
Entebbe City,Central,South Central,2024,49.2,12.0,0.5
Fort Portal City,Western,Tooro,2020,52.4,30.3,8.7
Fort Portal City,Western,Tooro,2021,57.9,28.4,9.1
Fort Portal City,Western,Tooro,2022,51.6,29.4,8.6
Fort Portal City,Western,Tooro,2023,47.7,28.8,7.1
Fort Portal City,Western,Tooro,2024,46.0,26.0,8.3
Gulu City,Northern,Acholi,2020,72.1,64.4,28.7
Gulu City,Northern,Acholi,2021,83.4,62.4,29.6
Gulu City,Northern,Acholi,2022,75.0,60.3,28.7
Gulu City,Northern,Acholi,2023,71.7,59.8,29.1
Gulu City,Northern,Acholi,2024,67.8,60.0,28.4
Hoima City,Western,Bunyoro,2020,54.0,37.1,6.9
Hoima City,Western,Bunyoro,2021,59.3,35.0,7.7
Hoima City,Western,Bunyoro,2022,55.8,35.0,5.9
Hoima City,Western,Bunyoro,2023,55.5,34.0,6.4
Hoima City,Western,Bunyoro,2024,50.0,31.7,3.9
Jinja City,Eastern,Busoga,2020,62.5,40.4,19.0
Jinja City,Eastern,Busoga,2021,68.2,39.2,18.6
Jinja City,Eastern,Busoga,2022,66.0,39.5,16.3
Jinja City,Eastern,Busoga,2023,60.4,38.0,18.7
Jinja City,Eastern,Busoga,2024,54.3,36.9,17.5
Lira City,Northern,Lango,2020,72.1,48.2,21.4
Lira City,Northern,Lango,2021,78.3,45.8,20.4
Lira City,Northern,Lango,2022,71.4,44.8,21.1
Lira City,Northern,Lango,2023,67.1,45.2,18.2
Lira City,Northern,Lango,2024,65.5,44.6,19.4
Masaka City,Central,South Central,2020,55.1,17.6,6.1
Masaka City,Central,South Central,2021,56.2,17.5,5.5
Masaka City,Central,South Central,2022,52.8,16.7,6.3
Masaka City,Central,South Central,2023,48.2,14.1,7.1
Masaka City,Central,South Central,2024,44.2,13.8,6.3
Mbale City,Eastern,Bugisu,2020,61.9,42.0,14.2
Mbale City,Eastern,Bugisu,2021,67.4,40.8,13.1
Mbale City,Eastern,Bugisu,2022,60.7,38.4,13.0
Mbale City,Eastern,Bugisu,2023,59.7,37.3,10.2
Mbale City,Eastern,Bugisu,2024,54.2,35.9,11.3
Mbarara City,Western,Ankole,2020,46.5,23.6,9.9
Mbarara City,Western,Ankole,2021,56.1,22.5,8.8
Mbarara City,Western,Ankole,2022,51.4,20.4,7.3
Mbarara City,Western,Ankole,2023,48.1,21.8,8.5
Mbarara City,Western,Ankole,2024,42.5,20.2,6.4
