District,Region,UDHS_Subregion,ITN_Net_Usage_2020_pct,Poor_Housing_2020_pct,Lack_Maternal_Education_2020_pct,ITN_Net_Usage_2021_pct,Poor_Housing_2021_pct,Lack_Maternal_Education_2021_pct,ITN_Net_Usage_2022_pct,Poor_Housing_2022_pct,Lack_Maternal_Education_2022_pct,ITN_Net_Usage_2023_pct,Poor_Housing_2023_pct,Lack_Maternal_Education_2023_pct,ITN_Net_Usage_2024_pct,Poor_Housing_2024_pct,Lack_Maternal_Education_2024_pct,Avg_ITN_Usage_pct,Avg_Poor_Housing_pct,Avg_Lack_Maternal_Education_pct,Data_Source
Mayuge,Eastern,Busoga,62.0,43.4,18.1,65.3,42.4,16.3,65.8,41.3,18.0,58.4,39.4,17.7,52.4,38.8,16.1,60.8,41.1,17.2,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Mbale,Eastern,Bugisu,59.4,38.1,11.8,63.8,37.4,11.8,62.3,36.6,10.1,53.9,36.4,9.6,55.5,35.8,8.3,59.0,36.9,10.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Namayingo,Eastern,Busoga,59.0,41.9,18.3,69.6,42.0,18.1,63.3,40.2,17.2,60.6,39.7,15.1,52.8,39.9,17.4,61.1,40.7,17.2,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Namisindwa,Eastern,Bugisu,56.4,42.7,13.6,66.5,39.8,13.6,61.0,38.8,10.9,55.9,39.5,13.4,53.2,37.4,11.3,58.6,39.6,12.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Namutumba,Eastern,Busoga,60.8,40.0,19.9,69.9,38.0,18.8,60.3,38.1,17.5,59.0,35.9,16.4,51.6,35.0,17.3,60.3,37.4,18.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Ngora,Eastern,Teso,66.1,47.7,19.3,76.3,46.7,17.3,68.4,44.7,18.6,66.6,44.4,16.7,58.8,42.9,18.0,67.2,45.3,18.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Pallisa,Eastern,Bukedi,67.4,45.4,17.8,74.8,42.5,18.2,66.6,41.9,17.6,60.6,40.1,17.9,57.1,40.9,17.6,65.3,42.2,17.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Serere,Eastern,Teso,68.1,49.3,18.6,73.8,47.9,17.6,73.5,45.9,15.2,65.1,44.7,16.7,62.4,45.6,15.6,68.6,46.7,16.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Sironko,Eastern,Bugisu,60.0,37.7,12.6,64.9,35.3,14.5,60.9,34.4,13.6,54.7,35.2,11.0,54.4,33.8,11.6,59.0,35.3,12.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Soroti,Eastern,Teso,69.7,47.9,20.7,76.0,45.4,19.9,70.7,46.0,20.2,64.1,42.4,20.9,60.3,41.8,20.2,68.2,44.7,20.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Tororo,Eastern,Bukedi,63.6,44.0,17.7,76.4,43.9,18.8,67.7,42.2,16.4,62.3,41.9,16.7,61.5,38.9,15.1,66.3,42.2,16.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Abim,Northern,Karamoja,80.7,81.7,59.0,87.5,80.3,57.3,82.9,81.0,57.4,74.6,78.9,55.5,67.9,77.7,56.6,78.7,79.9,57.2,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Adjumani,Northern,West Nile,71.5,52.5,27.5,80.0,52.9,28.2,73.4,51.1,27.2,65.7,51.3,27.4,59.8,49.7,27.9,70.1,51.5,27.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Agago,Northern,Acholi,71.3,62.9,29.4,80.5,61.6,28.2,75.8,60.9,28.8,72.8,62.6,28.4,68.5,60.7,26.3,73.8,61.7,28.2,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Alebtong,Northern,Lango,70.4,48.3,24.1,77.4,45.5,22.2,74.1,45.4,21.6,69.6,45.2,23.3,66.0,43.1,21.9,71.5,45.5,22.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Amolatar,Northern,Lango,72.3,48.6,21.4,78.7,45.7,19.3,75.5,45.8,18.9,66.2,46.0,20.4,61.4,43.5,18.5,70.8,45.9,19.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Amudat,Northern,Karamoja,81.4,83.6,58.1,85.7,83.0,56.6,79.7,82.1,57.1,77.2,79.6,56.0,72.7,79.0,54.0,79.3,81.5,56.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Amuru,Northern,Acholi,71.5,65.8,27.1,84.7,63.4,26.0,73.8,62.7,26.2,69.5,63.0,25.5,68.0,60.7,25.3,73.5,63.1,26.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Apac,Northern,Lango,73.6,50.3,20.6,77.6,50.0,21.1,73.8,49.7,19.6,67.5,46.7,20.3,64.5,46.5,20.7,71.4,48.6,20.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Arua,Northern,West Nile,71.0,57.5,24.7,76.2,55.1,24.8,70.5,53.7,24.0,70.1,53.1,25.1,64.5,52.8,25.4,70.5,54.4,24.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Dokolo,Northern,Lango,73.9,50.5,20.9,80.9,50.3,20.4,74.7,48.6,20.5,71.4,47.3,20.1,63.8,46.1,17.7,72.9,48.6,19.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Gulu,Northern,Acholi,72.4,61.5,31.4,81.9,60.8,31.2,73.7,60.7,31.0,71.6,59.5,28.3,66.5,58.0,29.6,73.2,60.1,30.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kaabong,Northern,Karamoja,77.3,87.5,53.1,85.3,84.3,52.7,82.4,83.1,53.2,74.1,83.6,52.0,69.9,82.5,51.0,77.8,84.2,52.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Karenga,Northern,Karamoja,81.2,83.4,54.7,90.6,83.3,54.0,80.1,81.3,53.3,77.0,80.0,53.5,69.9,78.1,51.9,79.8,81.2,53.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kitgum,Northern,Acholi,75.0,65.1,28.9,83.2,64.9,26.9,78.8,64.7,25.4,71.5,64.7,26.3,66.8,61.6,26.5,75.1,64.2,26.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Koboko,Northern,West Nile,70.5,58.8,28.9,76.2,55.9,26.3,74.1,54.5,26.7,65.6,55.5,25.3,59.7,53.9,26.1,69.2,55.7,26.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kole,Northern,Lango,70.8,49.6,19.5,81.1,48.6,20.6,75.9,46.4,19.6,66.8,46.4,19.6,63.7,43.9,18.7,71.7,47.0,19.6,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kotido,Northern,Karamoja,80.7,85.8,54.0,89.1,85.5,51.4,79.8,82.4,51.1,74.5,80.7,51.1,71.3,79.8,50.8,79.1,82.8,51.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Kwania,Northern,Lango,72.3,49.9,22.3,81.8,48.0,22.2,74.5,46.4,21.5,71.5,44.9,22.5,62.8,43.6,20.2,72.6,46.6,21.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Lamwo,Northern,Acholi,72.7,63.6,31.5,83.0,62.4,28.8,75.2,61.3,28.1,69.1,59.4,29.6,63.8,60.3,26.8,72.8,61.4,29.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Lira,Northern,Lango,70.4,51.5,22.2,77.6,51.6,19.0,74.2,47.8,19.3,71.6,47.3,17.8,63.2,47.9,19.0,71.4,49.2,19.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Madi-Okollo,Northern,West Nile,70.0,57.8,30.0,76.5,57.9,27.6,72.1,54.4,27.0,68.1,54.7,27.6,64.0,54.5,27.9,70.1,55.9,28.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Maracha,Northern,West Nile,69.3,55.7,28.7,79.5,56.1,29.3,72.6,54.8,27.9,68.8,52.9,25.8,62.7,51.7,27.4,70.6,54.2,27.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Moroto,Northern,Karamoja,76.3,84.0,55.3,90.3,83.6,56.1,82.1,80.2,54.5,76.1,80.4,55.6,68.2,79.6,54.8,78.6,81.6,55.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Moyo,Northern,West Nile,67.4,54.4,29.4,77.4,52.7,30.0,74.7,51.2,28.7,67.5,51.5,27.8,62.0,49.5,27.9,69.8,51.9,28.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Nabilatuk,Northern,Karamoja,79.5,88.2,58.3,86.7,86.3,55.1,82.2,86.6,55.8,77.6,84.0,54.4,70.9,84.0,55.0,79.4,85.8,55.7,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Nakapiripirit,Northern,Karamoja,76.9,82.5,54.9,87.8,82.2,55.3,83.9,80.1,54.9,75.0,80.4,55.8,70.9,79.1,53.2,78.9,80.9,54.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Napak,Northern,Karamoja,77.5,83.4,54.1,87.3,82.9,55.7,84.0,81.9,55.0,77.3,80.9,53.0,73.3,79.5,53.7,79.9,81.7,54.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Nebbi,Northern,West Nile,67.4,54.3,30.9,75.2,55.1,31.1,72.0,53.1,29.9,69.4,52.2,30.2,64.9,50.6,28.5,69.8,53.1,30.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Nwoya,Northern,Acholi,71.8,61.8,29.7,83.3,60.5,28.7,74.3,61.7,28.9,68.3,61.0,28.3,62.8,59.4,26.7,72.1,60.9,28.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Obongi,Northern,West Nile,70.9,52.9,25.5,77.0,51.8,25.3,72.6,48.6,24.3,66.9,49.0,24.6,62.3,47.3,25.4,69.9,49.9,25.0,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Omoro,Northern,Acholi,72.8,65.9,30.5,83.1,65.1,31.6,76.2,64.7,29.3,72.9,61.9,30.4,63.5,61.4,28.6,73.7,63.8,30.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Otuke,Northern,Lango,73.1,51.0,23.0,77.2,49.0,23.4,76.2,50.7,22.2,69.9,47.4,23.2,66.3,47.7,22.1,72.5,49.2,22.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Oyam,Northern,Lango,71.8,48.6,22.6,78.0,48.5,22.1,76.2,47.3,20.3,68.0,47.2,20.2,62.6,43.9,21.2,71.3,47.1,21.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Pader,Northern,Acholi,73.0,62.0,32.3,80.2,60.4,30.1,77.1,58.1,32.0,68.6,57.4,29.8,66.0,57.0,30.1,73.0,59.0,30.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Pakwach,Northern,West Nile,68.4,55.6,24.9,76.3,55.7,24.3,72.5,54.4,25.9,64.1,54.3,24.7,60.5,52.2,24.4,68.4,54.4,24.8,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Terego,Northern,West Nile,71.2,54.5,29.1,80.0,51.2,28.7,71.5,50.4,29.9,66.2,49.0,26.7,63.6,49.7,26.3,70.5,51.0,28.1,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Yumbe,Northern,West Nile,70.2,53.3,26.3,75.8,53.8,26.3,74.8,53.0,25.8,67.6,52.5,26.2,63.1,51.2,26.7,70.3,52.8,26.3,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Zombo,Northern,West Nile,69.2,53.2,28.2,80.3,51.6,26.7,72.7,52.5,26.7,68.3,51.5,26.8,60.1,49.2,26.3,70.1,51.6,26.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Buhweju,Western,Ankole,47.6,25.3,10.2,56.7,24.6,10.0,53.4,25.4,10.1,46.9,24.0,9.1,44.8,21.0,7.9,49.9,24.1,9.5,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Buliisa,Western,Bunyoro,53.8,36.4,8.5,62.6,36.2,7.9,59.4,33.9,7.0,50.4,35.2,7.4,48.7,33.4,6.0,55.0,35.0,7.4,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bundibugyo,Western,Tooro,51.5,29.8,9.7,59.2,30.7,7.1,55.7,29.5,8.0,51.5,28.7,6.7,47.2,27.8,7.9,53.0,29.3,7.9,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
Bunyangabu,Western,Tooro,51.6,31.8,13.4,55.8,30.7,12.8,54.8,30.1,13.7,52.6,28.3,12.3,46.7,28.0,13.6,52.3,29.8,13.2,"Sub-region baselines anchored to UBOS/UNICEF Uganda Annual Report 2024 (multidimensional poverty by sub-region), UBOS Adolescents & Youth in Uganda thematic report (female school non-attendance by sub-region, 2016), and UNIPH/UDHS ITN-use reporting patterns (2020-2021 mass LLIN campaign peak, post-campaign decline). District-level values within each sub-region are modeled/estimated, not individually surveyed."
