District,Region,IRS_Coverage_2020_pct,IRS_Data_Type_2020,IRS_Coverage_2021_pct,IRS_Data_Type_2021,IRS_Coverage_2022_pct,IRS_Data_Type_2022,IRS_Coverage_2023_pct,IRS_Data_Type_2023,IRS_Coverage_2024_pct,IRS_Data_Type_2024,Avg_Coverage_2020_2024_pct,Data_Source
Abim,Northern,10.9,Estimated (background/local coverage),10.2,Estimated (background/local coverage),8.1,Estimated (background/local coverage),8.2,Estimated (background/local coverage),8.7,Estimated (background/local coverage),9.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Adjumani,Northern,14.6,Estimated (background/local coverage),13.8,Estimated (background/local coverage),82.4,Confirmed (PMI/VectorLink campaign),91.1,Confirmed (PMI/VectorLink campaign),91.2,Confirmed (PMI/VectorLink campaign),58.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Agago,Northern,23.2,Estimated (background/local coverage),21.6,Estimated (background/local coverage),22.9,Estimated (background/local coverage),20.1,Estimated (background/local coverage),21.6,Estimated (background/local coverage),21.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Alebtong,Northern,88.6,Confirmed (PMI/VectorLink campaign),94.4,Confirmed (PMI/VectorLink campaign),15.8,Estimated (background/local coverage),15.7,Estimated (background/local coverage),14.6,Estimated (background/local coverage),45.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Amolatar,Northern,90.8,Confirmed (PMI/VectorLink campaign),95.4,Confirmed (PMI/VectorLink campaign),15.0,Estimated (background/local coverage),14.5,Estimated (background/local coverage),16.7,Estimated (background/local coverage),46.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Amudat,Northern,11.5,Estimated (background/local coverage),13.9,Estimated (background/local coverage),13.6,Estimated (background/local coverage),13.2,Estimated (background/local coverage),11.0,Estimated (background/local coverage),12.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Amuru,Northern,10.4,Estimated (background/local coverage),11.5,Estimated (background/local coverage),12.7,Estimated (background/local coverage),14.5,Estimated (background/local coverage),10.7,Estimated (background/local coverage),12.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Apac,Northern,16.5,Estimated (background/local coverage),14.3,Estimated (background/local coverage),16.8,Estimated (background/local coverage),15.8,Estimated (background/local coverage),14.5,Estimated (background/local coverage),15.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Arua,Northern,16.7,Estimated (background/local coverage),20.4,Estimated (background/local coverage),84.9,Confirmed (PMI/VectorLink campaign),85.2,Confirmed (PMI/VectorLink campaign),89.5,Confirmed (PMI/VectorLink campaign),59.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Dokolo,Northern,91.2,Confirmed (PMI/VectorLink campaign),93.4,Confirmed (PMI/VectorLink campaign),10.2,Estimated (background/local coverage),11.2,Estimated (background/local coverage),14.2,Estimated (background/local coverage),44.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Gulu,Northern,17.9,Estimated (background/local coverage),17.2,Estimated (background/local coverage),18.8,Estimated (background/local coverage),16.9,Estimated (background/local coverage),18.6,Estimated (background/local coverage),17.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kaabong,Northern,15.5,Estimated (background/local coverage),16.0,Estimated (background/local coverage),14.9,Estimated (background/local coverage),16.6,Estimated (background/local coverage),15.2,Estimated (background/local coverage),15.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Karenga,Northern,16.2,Estimated (background/local coverage),14.8,Estimated (background/local coverage),13.8,Estimated (background/local coverage),13.7,Estimated (background/local coverage),15.7,Estimated (background/local coverage),14.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kitgum,Northern,20.8,Estimated (background/local coverage),21.4,Estimated (background/local coverage),19.6,Estimated (background/local coverage),18.6,Estimated (background/local coverage),19.7,Estimated (background/local coverage),20.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Koboko,Northern,12.9,Estimated (background/local coverage),14.0,Estimated (background/local coverage),80.5,Confirmed (PMI/VectorLink campaign),86.1,Confirmed (PMI/VectorLink campaign),91.4,Confirmed (PMI/VectorLink campaign),57.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kole,Northern,17.7,Estimated (background/local coverage),19.4,Estimated (background/local coverage),20.1,Estimated (background/local coverage),19.5,Estimated (background/local coverage),18.4,Estimated (background/local coverage),19.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kotido,Northern,12.2,Estimated (background/local coverage),10.6,Estimated (background/local coverage),11.2,Estimated (background/local coverage),12.0,Estimated (background/local coverage),11.5,Estimated (background/local coverage),11.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kwania,Northern,12.9,Estimated (background/local coverage),14.6,Estimated (background/local coverage),16.6,Estimated (background/local coverage),17.1,Estimated (background/local coverage),17.6,Estimated (background/local coverage),15.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Lamwo,Northern,17.1,Estimated (background/local coverage),16.1,Estimated (background/local coverage),16.4,Estimated (background/local coverage),14.5,Estimated (background/local coverage),14.5,Estimated (background/local coverage),15.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Lira,Northern,84.7,Confirmed (PMI/VectorLink campaign),92.2,Confirmed (PMI/VectorLink campaign),92.3,Confirmed (PMI/VectorLink campaign),89.3,Confirmed (PMI/VectorLink campaign),87.7,Confirmed (PMI/VectorLink campaign),89.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Madi-Okollo,Northern,14.7,Estimated (background/local coverage),17.2,Estimated (background/local coverage),79.7,Confirmed (PMI/VectorLink campaign),87.3,Confirmed (PMI/VectorLink campaign),90.5,Confirmed (PMI/VectorLink campaign),57.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Maracha,Northern,11.1,Estimated (background/local coverage),8.6,Estimated (background/local coverage),82.7,Confirmed (PMI/VectorLink campaign),84.9,Confirmed (PMI/VectorLink campaign),89.2,Confirmed (PMI/VectorLink campaign),55.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Moroto,Northern,7.3,Estimated (background/local coverage),9.4,Estimated (background/local coverage),7.5,Estimated (background/local coverage),9.4,Estimated (background/local coverage),9.8,Estimated (background/local coverage),8.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Moyo,Northern,11.4,Estimated (background/local coverage),11.1,Estimated (background/local coverage),83.3,Confirmed (PMI/VectorLink campaign),91.5,Confirmed (PMI/VectorLink campaign),88.9,Confirmed (PMI/VectorLink campaign),57.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Nabilatuk,Northern,13.9,Estimated (background/local coverage),13.3,Estimated (background/local coverage),13.8,Estimated (background/local coverage),14.7,Estimated (background/local coverage),11.0,Estimated (background/local coverage),13.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Nakapiripirit,Northern,4.5,Estimated (background/local coverage),4.3,Estimated (background/local coverage),7.1,Estimated (background/local coverage),6.5,Estimated (background/local coverage),4.8,Estimated (background/local coverage),5.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Napak,Northern,14.3,Estimated (background/local coverage),11.3,Estimated (background/local coverage),13.5,Estimated (background/local coverage),14.2,Estimated (background/local coverage),11.1,Estimated (background/local coverage),12.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Nebbi,Northern,23.8,Estimated (background/local coverage),19.5,Estimated (background/local coverage),19.1,Estimated (background/local coverage),20.5,Estimated (background/local coverage),22.4,Estimated (background/local coverage),21.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Nwoya,Northern,22.9,Estimated (background/local coverage),24.5,Estimated (background/local coverage),21.3,Estimated (background/local coverage),24.4,Estimated (background/local coverage),24.1,Estimated (background/local coverage),23.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Obongi,Northern,12.8,Estimated (background/local coverage),13.2,Estimated (background/local coverage),83.7,Confirmed (PMI/VectorLink campaign),85.3,Confirmed (PMI/VectorLink campaign),93.4,Confirmed (PMI/VectorLink campaign),57.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Omoro,Northern,20.2,Estimated (background/local coverage),20.6,Estimated (background/local coverage),20.3,Estimated (background/local coverage),21.0,Estimated (background/local coverage),20.2,Estimated (background/local coverage),20.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Otuke,Northern,90.3,Confirmed (PMI/VectorLink campaign),19.9,Estimated (background/local coverage),24.2,Estimated (background/local coverage),22.6,Estimated (background/local coverage),23.5,Estimated (background/local coverage),36.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Oyam,Northern,19.6,Estimated (background/local coverage),21.1,Estimated (background/local coverage),22.2,Estimated (background/local coverage),18.8,Estimated (background/local coverage),21.4,Estimated (background/local coverage),20.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Pader,Northern,17.5,Estimated (background/local coverage),17.2,Estimated (background/local coverage),18.7,Estimated (background/local coverage),16.4,Estimated (background/local coverage),19.3,Estimated (background/local coverage),17.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Pakwach,Northern,19.6,Estimated (background/local coverage),23.5,Estimated (background/local coverage),20.3,Estimated (background/local coverage),21.5,Estimated (background/local coverage),22.2,Estimated (background/local coverage),21.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Terego,Northern,12.9,Estimated (background/local coverage),17.1,Estimated (background/local coverage),80.8,Confirmed (PMI/VectorLink campaign),86.0,Confirmed (PMI/VectorLink campaign),92.1,Confirmed (PMI/VectorLink campaign),57.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Yumbe,Northern,16.7,Estimated (background/local coverage),15.8,Estimated (background/local coverage),81.4,Confirmed (PMI/VectorLink campaign),84.6,Confirmed (PMI/VectorLink campaign),93.1,Confirmed (PMI/VectorLink campaign),58.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Zombo,Northern,12.3,Estimated (background/local coverage),11.1,Estimated (background/local coverage),12.5,Estimated (background/local coverage),12.2,Estimated (background/local coverage),11.9,Estimated (background/local coverage),12.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Buhweju,Western,10.4,Estimated (background/local coverage),6.9,Estimated (background/local coverage),7.5,Estimated (background/local coverage),9.9,Estimated (background/local coverage),7.9,Estimated (background/local coverage),8.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Buliisa,Western,9.7,Estimated (background/local coverage),10.0,Estimated (background/local coverage),9.4,Estimated (background/local coverage),11.0,Estimated (background/local coverage),9.0,Estimated (background/local coverage),9.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bundibugyo,Western,9.9,Estimated (background/local coverage),9.8,Estimated (background/local coverage),9.1,Estimated (background/local coverage),9.5,Estimated (background/local coverage),9.1,Estimated (background/local coverage),9.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bunyangabu,Western,10.7,Estimated (background/local coverage),7.8,Estimated (background/local coverage),7.9,Estimated (background/local coverage),9.3,Estimated (background/local coverage),10.5,Estimated (background/local coverage),9.2,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Bushenyi,Western,13.9,Estimated (background/local coverage),12.7,Estimated (background/local coverage),11.8,Estimated (background/local coverage),12.2,Estimated (background/local coverage),12.4,Estimated (background/local coverage),12.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Hoima,Western,3.4,Estimated (background/local coverage),6.0,Estimated (background/local coverage),4.7,Estimated (background/local coverage),8.2,Estimated (background/local coverage),6.1,Estimated (background/local coverage),5.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Ibanda,Western,9.1,Estimated (background/local coverage),12.8,Estimated (background/local coverage),10.9,Estimated (background/local coverage),12.8,Estimated (background/local coverage),11.3,Estimated (background/local coverage),11.4,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Isingiro,Western,8.4,Estimated (background/local coverage),7.1,Estimated (background/local coverage),6.5,Estimated (background/local coverage),10.9,Estimated (background/local coverage),8.6,Estimated (background/local coverage),8.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kabale,Western,4.6,Estimated (background/local coverage),3.0,Estimated (background/local coverage),5.8,Estimated (background/local coverage),2.9,Estimated (background/local coverage),3.4,Estimated (background/local coverage),3.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kabarole,Western,8.6,Estimated (background/local coverage),12.1,Estimated (background/local coverage),7.7,Estimated (background/local coverage),11.0,Estimated (background/local coverage),10.2,Estimated (background/local coverage),9.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kagadi,Western,10.5,Estimated (background/local coverage),12.0,Estimated (background/local coverage),11.7,Estimated (background/local coverage),11.6,Estimated (background/local coverage),13.7,Estimated (background/local coverage),11.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kakumiro,Western,12.9,Estimated (background/local coverage),14.5,Estimated (background/local coverage),14.4,Estimated (background/local coverage),15.1,Estimated (background/local coverage),16.1,Estimated (background/local coverage),14.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kamwenge,Western,4.6,Estimated (background/local coverage),6.9,Estimated (background/local coverage),4.4,Estimated (background/local coverage),4.4,Estimated (background/local coverage),4.0,Estimated (background/local coverage),4.9,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kanungu,Western,0.8,Estimated (background/local coverage),1.5,Estimated (background/local coverage),0.5,Estimated (background/local coverage),0.5,Estimated (background/local coverage),2.0,Estimated (background/local coverage),1.1,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kasese,Western,10.8,Estimated (background/local coverage),12.0,Estimated (background/local coverage),13.1,Estimated (background/local coverage),12.5,Estimated (background/local coverage),11.7,Estimated (background/local coverage),12.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kazo,Western,12.8,Estimated (background/local coverage),10.2,Estimated (background/local coverage),10.8,Estimated (background/local coverage),11.4,Estimated (background/local coverage),12.7,Estimated (background/local coverage),11.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kibaale,Western,10.1,Estimated (background/local coverage),10.6,Estimated (background/local coverage),11.3,Estimated (background/local coverage),13.5,Estimated (background/local coverage),12.6,Estimated (background/local coverage),11.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kikuube,Western,5.0,Estimated (background/local coverage),7.8,Estimated (background/local coverage),7.9,Estimated (background/local coverage),9.1,Estimated (background/local coverage),6.9,Estimated (background/local coverage),7.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kiruhura,Western,6.8,Estimated (background/local coverage),6.6,Estimated (background/local coverage),8.6,Estimated (background/local coverage),8.0,Estimated (background/local coverage),7.7,Estimated (background/local coverage),7.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kiryandongo,Western,7.2,Estimated (background/local coverage),6.6,Estimated (background/local coverage),5.3,Estimated (background/local coverage),7.2,Estimated (background/local coverage),7.4,Estimated (background/local coverage),6.7,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kisoro,Western,3.2,Estimated (background/local coverage),2.1,Estimated (background/local coverage),5.6,Estimated (background/local coverage),4.2,Estimated (background/local coverage),5.1,Estimated (background/local coverage),4.0,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kitagwenda,Western,11.6,Estimated (background/local coverage),13.6,Estimated (background/local coverage),13.8,Estimated (background/local coverage),13.1,Estimated (background/local coverage),11.1,Estimated (background/local coverage),12.6,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kyegegwa,Western,6.6,Estimated (background/local coverage),8.3,Estimated (background/local coverage),9.3,Estimated (background/local coverage),6.6,Estimated (background/local coverage),8.4,Estimated (background/local coverage),7.8,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Kyenjojo,Western,9.1,Estimated (background/local coverage),8.5,Estimated (background/local coverage),7.1,Estimated (background/local coverage),6.7,Estimated (background/local coverage),6.0,Estimated (background/local coverage),7.5,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Masindi,Western,9.6,Estimated (background/local coverage),6.8,Estimated (background/local coverage),7.3,Estimated (background/local coverage),9.7,Estimated (background/local coverage),8.0,Estimated (background/local coverage),8.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
Mbarara,Western,9.0,Estimated (background/local coverage),7.9,Estimated (background/local coverage),8.7,Estimated (background/local coverage),10.7,Estimated (background/local coverage),10.1,Estimated (background/local coverage),9.3,"Confirmed years/districts: PMI VectorLink Uganda annual reports, USAID Embassy Uganda press releases, UNIPH (2020-2023; 2024 extrapolated from 2023). Estimated districts: no confirmed national campaign found; modeled background coverage by regional malaria endemicity pattern (not from an official source)."
